Country,Year,GDP,Life Expectancy,log_GDP,LE_Class
Greece,2021,218449.0,79.6,12.294312434379583,1
Grenada,2021,1123.0,72.8,7.024649030453636,1
Guatemala,2021,86467.0,68.7,11.367529682277944,0
Guinea,2021,16320.0,61.3,9.700207901150696,0
Guinea-Bissau,2021,1722.0,58.6,7.45182223652793,0
Guyana,2021,8041.0,66.1,8.992433087457218,0
Haiti,2021,21017.0,62.5,9.953134492425542,0
Honduras,2021,27950.0,69.0,10.238208256118535,0
Hungary,2021,183283.0,74.4,12.118792141419998,1
Iceland,2021,25770.0,82.6,10.15700510770532,1
India,2021,3167271.0,67.3,14.968381207529054,0
Indonesia,2021,1186510.0,68.3,13.986527625780003,0
Iraq,2021,210753.0,71.5,12.258446855517914,0
Ireland,2021,531660.0,81.6,13.183761347168963,1
Israel,2021,489854.0,81.7,13.101864707926984,1
Italy,2021,2180656.0,82.2,14.595136765507393,1
Jamaica,2021,14674.0,70.1,9.593900644696298,0
Japan,2021,5039148.0,84.5,15.43274777658457,1
Jordan,2021,46362.0,75.6,10.744257006317746,1
Kazakhstan,2021,197112.0,70.3,12.191532447333111,0
Kenya,2021,109875.0,66.8,11.607107736197484,0
Kiribati,2021,285.0,60.9,5.655991810819852,0
Kuwait,2021,148455.0,79.0,11.908043897024175,1
Kyrgyzstan,2021,9256.0,72.2,9.133135301067211,1
Latvia,2021,38209.0,73.2,10.550852540440946,1
Lebanon,2021,19782.0,74.3,9.892578262028092,1
Lesotho,2021,2445.0,51.5,7.802209316247118,0
Liberia,2021,3509.0,63.5,8.163371316459912,0
Libya,2021,35216.0,72.2,10.469284199546632,1
Lithuania,2021,67068.0,74.1,11.113477219186896,1
Luxembourg,2021,86444.0,82.8,11.367263652538876,1
Madagascar,2021,14355.0,62.9,9.571923252267498,0
Malawi,2021,12475.0,62.5,9.431562077727694,0
Malaysia,2021,373785.0,72.8,12.83143872011869,1
Maldives,2021,5242.0,75.4,8.564649132572534,1
Mali,2021,19320.0,61.7,9.868947866261383,0
Malta,2021,19737.0,81.8,9.890300990731953,1
Mauritania,2021,9126.0,68.9,9.118992332516877,0
Mauritius,2021,11484.0,73.4,9.3487971151232,1
Mexico,2021,1316569.0,70.8,14.090540427792464,0
Mongolia,2021,15286.0,70.1,9.634758073001034,0
Montenegro,2021,5865.0,74.7,8.676928249537397,1
Morocco,2021,142022.0,72.6,11.863744295298362,1
Mozambique,2021,16168.0,57.7,9.690851107739814,0
Myanmar,2021,58264.0,67.8,10.972756849007364,0
Namibia,2021,12399.0,60.4,9.425451751593128,0
Nepal,2021,36927.0,70.0,10.516725349867771,0
New Zealand,2021,249775.0,82.2,12.428319795196447,1
Nicaragua,2021,14208.0,75.0,9.561630845638076,1
Niger,2021,14923.0,60.0,9.610725934341048,0
Nigeria,2021,441074.0,63.4,12.996970207996267,0
North Macedonia,2021,14008.0,73.0,9.547455259196115,1
Norway,2021,503368.0,82.9,13.129078778539633,1
Oman,2021,87324.0,72.5,11.377392069675032,1
Pakistan,2021,348481.0,66.0,12.761341857920549,0
Panama,2021,67407.0,77.2,11.118518984218797,1
Papua New Guinea,2021,26113.0,65.5,10.170226847967983,0
Paraguay,2021,39951.0,70.3,10.595434012519554,0
Peru,2021,226268.0,71.7,12.329479835936779,1
Philippines,2021,394087.0,66.4,12.884329513594924,0
Poland,2021,689253.0,75.4,13.443365132278707,1
Portugal,2021,256226.0,81.2,12.453819049308875,1
Puerto Rico,2021,106427.0,79.9,11.575223979164452,1
Qatar,2021,179732.0,76.7,12.099227695310999,1
Romania,2021,286783.0,72.8,12.566484598145815,1
Rwanda,2021,11066.0,67.5,9.311722986264785,0
Samoa,2021,844.0,70.3,6.739336627357174,0
Saudi Arabia,2021,874157.0,76.4,13.68101641633133,1
Senegal,2021,27584.0,67.8,10.22502742570653,0
Serbia,2021,65830.0,72.8,11.09484613098911,1
Seychelles,2021,1490.0,74.0,7.307202314764738,1
Sierra Leone,2021,7165.0,61.0,8.8771028978649,0
Singapore,2021,436591.0,83.9,12.986754399521951,1
Slovakia,2021,120672.0,74.5,11.700839686950292,1
Slovenia,2021,61570.0,80.4,11.027946259449502,1
Solomon Islands,2021,1523.0,64.8,7.329093736246592,0
Somalia,2021,9484.0,54.0,9.157466882369114,0
South Africa,2021,420778.0,61.5,12.949863034217378,0
South Sudan,2021,5940.0,58.6,8.689632748355741,0
Spain,2021,1462216.0,82.7,14.195464335090277,1
Sri Lanka,2021,88609.0,77.2,11.391999997041347,1
Saint Lucia,2021,1867.0,71.1,7.532623618788788,0
Saint Vincent and the Grenadines,2021,888.0,72.6,6.790097235513905,1
Sudan,2021,35142.0,67.6,10.467180730891574,0
Suriname,2021,3084.0,69.8,8.034306936339489,0
Sweden,2021,637187.0,82.7,13.364820024448985,1
